timestamp,operation,table,status,affected_rows,error,execution_time
2024-11-14T21:20:51.171743,CREATE_TABLE,users,SUCCESS,0,,1.9871
2024-11-14T21:20:52.227558,INSERT,users,SUCCESS,1,,1.0497
2024-11-14T21:20:54.071016,BULK_INSERT,users,SUCCESS,2,,1.8365
2024-11-14T21:20:55.100905,UPDATE,users,SUCCESS,1,,1.0204
2024-11-14T22:47:44.614350,CREATE_TABLE,users,SUCCESS,0,,1.1069
2024-11-14T22:47:45.649897,INSERT,users,SUCCESS,1,,1.0275
2024-11-14T22:47:46.723961,BULK_INSERT,users,SUCCESS,2,,1.0687
2024-11-14T22:47:47.724132,UPDATE,users,SUCCESS,2,,0.9962
2024-11-15T09:43:25.303840,CREATE_TABLE,users,SUCCESS,0,,1.1081
2024-11-15T09:43:27.110389,INSERT,users,SUCCESS,1,,1.8006
2024-11-15T09:43:28.939458,BULK_INSERT,users,SUCCESS,2,,1.8230
2024-11-15T09:43:29.898101,UPDATE,users,SUCCESS,3,,0.9514
2024-11-15T09:43:31.650511,RAW_QUERY,N/A,SUCCESS,1,,1.7458
2024-11-15T09:49:52.761607,CREATE_TABLE,users,SUCCESS,0,,0.9997
2024-11-15T09:49:53.699647,INSERT,users,SUCCESS,1,,0.9320
2024-11-15T09:49:54.656299,BULK_INSERT,users,SUCCESS,2,,0.9497
2024-11-15T09:49:56.419064,UPDATE,users,SUCCESS,4,,1.7570
2024-11-15T09:49:57.339694,RAW_QUERY,N/A,SUCCESS,1,,0.9146
2024-11-15T09:51:14.176874,CREATE_TABLE,users,SUCCESS,0,,1.0121
2024-11-15T09:51:15.131783,INSERT,users,SUCCESS,1,,0.9492
2024-11-15T09:51:16.111545,BULK_INSERT,users,SUCCESS,2,,0.9726
2024-11-15T09:51:17.046842,UPDATE,users,SUCCESS,5,,0.9283
2024-11-15T09:51:17.938420,RAW_QUERY,N/A,SUCCESS,1,,0.8857
2024-11-15T09:51:56.056372,CREATE_TABLE,users,SUCCESS,0,,0.9077
2024-11-15T09:51:56.979765,INSERT,users,SUCCESS,1,,0.9174
2024-11-15T09:51:57.938207,BULK_INSERT,users,SUCCESS,2,,0.9515
2024-11-15T09:51:59.839368,UPDATE,users,SUCCESS,6,,1.8952
2024-11-15T09:52:01.589750,RAW_QUERY,N/A,SUCCESS,1,,1.7454
2024-11-15T10:01:32.043481,CREATE_TABLE,users,SUCCESS,0,,1.1150
2024-11-15T10:01:35.317778,INSERT,users,SUCCESS,1,,3.2694
2024-11-15T10:01:37.122008,BULK_INSERT,users,SUCCESS,2,,1.7977
2024-11-15T10:01:38.021792,UPDATE,users,SUCCESS,7,,0.8931
2024-11-15T10:01:38.892141,RAW_QUERY,N/A,SUCCESS,1,,0.8640
2024-11-15T10:01:39.811818,RAW_QUERY,N/A,SUCCESS,4,,0.9137
2024-11-15T11:17:29.454336,CREATE_TABLE,users,SUCCESS,0,,1.0386
2024-11-15T11:19:52.918860,CREATE_TABLE,users,SUCCESS,0,,1.0750
2024-11-15T11:19:54.141650,SELECT,users,SUCCESS,21,,1.2189
2024-11-15T11:19:55.053348,RAW_QUERY,N/A,SUCCESS,1,,0.8961
2024-11-15T11:19:55.971079,RAW_QUERY,N/A,SUCCESS,4,,0.9111
2024-11-15T11:21:54.437168,CREATE_TABLE,users,SUCCESS,0,,0.9830
2024-11-15T11:21:55.322456,SELECT,users,SUCCESS,21,,0.8825
2024-11-15T11:21:57.962224,RAW_QUERY,N/A,SUCCESS,1,,2.6224
2024-11-15T11:21:59.830071,RAW_QUERY,N/A,SUCCESS,4,,1.8659
2024-11-15T11:51:02.936132,CREATE_TABLE,users,SUCCESS,0,,2.0019
2024-11-15T11:51:03.932770,SELECT,users,SUCCESS,21,,0.9808
2024-11-15T11:51:04.955608,RAW_QUERY,N/A,SUCCESS,1,,1.0055
2024-11-15T11:51:05.871509,RAW_QUERY,N/A,SUCCESS,4,,0.9159
2024-11-15T11:52:39.980544,CREATE_TABLE,users,SUCCESS,0,,1.0365
2024-11-15T11:52:40.856463,SELECT,users,SUCCESS,21,,0.8599
2024-11-15T11:52:41.927485,RAW_QUERY,N/A,SUCCESS,1,,1.0470
2024-11-15T11:52:43.769752,RAW_QUERY,N/A,SUCCESS,4,,1.8262
2024-11-15T12:20:19.133083,CREATE_TABLE,users,SUCCESS,0,,1.8370
2024-11-15T12:20:21.061481,SELECT,users,SUCCESS,21,,1.9193
2024-11-15T12:20:22.848101,RAW_QUERY,N/A,SUCCESS,1,,1.7633
2024-11-15T12:20:25.550912,RAW_QUERY,N/A,SUCCESS,4,,2.6937
